TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
00605SLCTRLOT10,72005,PR,0,C,334412,1,1,334.0,1.0,33,334,3344
00602SMRTMRD115,72003,PR,0,C,334412,1,1,334.0,1.0,33,334,3344
00630CRWNCKM126,72031,PR,1,C,332431,1,1,332.0,1.0,33,332,3324
00701TNLBRHIGHW,72091,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00747LCTTPNO9VQ,72121,PR,0,C,325520,1,1,325.0,1.0,32,325,3255
00768SRTRSROAD1,72153,PR,0,C,325221,1,1,325.0,1.0,32,325,3252
00639MLLPRROAD1,72041,PR,0,C,326199,1,1,326.0,1.0,32,326,3261
00965SSCTBSTATE,72061,PR,0,C,424710,1,1,4247.0,1.0,42,424,4247
00937SSLMMLUISM,72031,PR,0,C,424710,1,1,4247.0,1.0,42,424,4247
00673GBNSLROAD9,72089,PR,1,C,332117,1,1,332.0,1.0,33,332,3321
00735PRPDGPR03K,72037,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00735PRPDGPR03K,72037,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00735PRPDGPR03K,72037,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00612PRPCMPR681,72013,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00612PRPCMPR681,72013,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00612PRPCMPR681,72013,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00693PRPVGPR2KM,72145,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00693PRPVGPR2KM,72145,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00693PRPVGPR2KM,72145,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00791PRPYBPR03K,72069,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00791PRPYBPR03K,72069,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00791PRPYBPR03K,72069,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00610BXTRHROAD4,72011,PR,0,C,339112,1,1,339.0,1.0,33,339,3391
00777LSRPRRD185,72077,PR,0,C,325181,1,1,325.0,1.0,32,325,3251
00985CPNTS65INF,72031,PR,0,C,325510,1,1,325.0,1.0,32,325,3255
00690SNSRMSTATE,72005,PR,0,C,334290,1,1,334.0,1.0,33,334,3342
00629CHLLNRD874,72029,PR,0,C,335313,1,1,335.0,1.0,33,335,3353
00771TRCSLSTATE,72085,PR,0,C,311119,1,1,311.0,1.0,31,311,3111
00701DPNTLHIGHW,72091,PR,0,C,334413,1,1,334.0,1.0,33,334,3344
00646GDNTP12RD6,72051,PR,0,C,334510,1,1,334.0,1.0,33,334,3345
00950PRPPLPR165,72137,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00950PRPPLPR165,72137,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00950PRPPLPR165,72137,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00920PRPSNMERCA,72127,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00920PRPSNMERCA,72127,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00920PRPSNMERCA,72127,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00936SNJNCKM267,72051,PR,0,C,327310,1,1,327.0,1.0,32,327,3273
00936SNJNCKM267,72051,PR,0,C,212312,2,0,999.0,0.0,21,212,2123
00926WTRTRPOBOX,72033,PR,0,C,325998,1,1,325.0,1.0,32,325,3259
00603MCRNTRD11K,72005,PR,0,C,334413,1,1,334.0,1.0,33,334,3344
00751STRTCRD701,72123,PR,0,C,339112,1,1,339.0,1.0,33,339,3391
00632PRTRCROAD8,72033,PR,0,C,325120,1,1,325.0,1.0,32,325,3251
00656DCRBNBOMAG,72059,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00656DCRBNBOMAG,72059,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00656DCRBNBOMAG,72059,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00751PRPGRPRO3K,72123,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00751PRPGRPRO3K,72123,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00751PRPGRPRO3K,72123,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00680MYGZGMALEC,72097,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00680MYGZGMALEC,72097,PR,0,C,221122,2,0,2211.0,1.0,22,221,2211
00680MYGZGMALEC,72097,PR,0,C,221121,3,0,2211.0,1.0,22,221,2211
00701DPNTGHIGHW,72091,PR,0,C,325320,1,1,325.0,1.0,32,325,3253
00654PHLPSPHILI,72057,PR,1,C,324110,1,1,324.0,1.0,32,324,3241
00731NDSTR1KMSO,72111,PR,0,C,325188,1,1,325.0,1.0,32,325,3251
00985CRTSNSTATE,72031,PR,0,C,334418,1,1,334.0,1.0,33,334,3344
00979GDNVTSUNOI,72031,PR,0,C,424710,1,1,4247.0,1.0,42,424,4247
00617BRSTLSTATE,72017,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00705BXTRHMERCE,72009,PR,0,C,339112,1,1,339.0,1.0,33,339,3391
00619SLNDLST167,72021,PR,0,C,332812,1,1,332.0,1.0,33,332,3328
00709CRVCRCALLE,72097,PR,0,C,312120,1,1,3121.0,1.0,31,312,3121
00680BRSTLFOREI,72097,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00617MRCKSSTATE,72017,PR,0,C,325411,1,1,325.0,1.0,32,325,3254
00617MRCKSSTATE,72017,PR,0,C,325412,2,0,325.0,1.0,32,325,3254
00628LLLLY65THI,72031,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00619HRRSD15CST,72021,PR,0,C,325510,1,1,325.0,1.0,32,325,3255
00785SPRTRKM142,72057,PR,0,C,221112,1,1,2211.0,1.0,22,221,2211
00771CTLRH50JES,72085,PR,0,C,335313,1,1,335.0,1.0,33,335,3353
00733PRTRCPUBLI,72113,PR,0,C,327310,1,1,327.0,1.0,32,327,3273
00738PLLPRRD19A,72053,PR,0,C,326199,1,1,326.0,1.0,32,326,3261
00617PRCSNTMASD,72017,PR,0,C,311119,1,1,311.0,1.0,31,311,3111
00740STNRCPTORE,72053,PR,0,C,423120,1,1,999.0,0.0,42,423,4231
00754LNCMNURBAP,72129,PR,0,C,325510,1,1,325.0,1.0,32,325,3255
00619CRBBNLUCHE,72021,PR,0,C,424710,1,1,4247.0,1.0,42,424,4247
00619CRBBNLUCHE,72021,PR,0,C,324110,2,0,324.0,1.0,32,324,3241
00701CYNMDPRROA,72091,PR,0,C,325320,1,1,325.0,1.0,32,325,3253
00725SCHSCRD175,72025,PR,0,C,424690,1,1,4246.0,1.0,42,424,4246
00792LTRNSCARR9,72069,PR,0,C,335931,1,1,335.0,1.0,33,335,3359
00613RSTNDROUTE,72013,PR,0,C,335313,1,1,335.0,1.0,33,335,3353
00613RSTNDROUTE,72013,PR,0,C,332813,2,0,332.0,1.0,33,332,3328
00924MXCHMLABRI,72127,PR,0,C,325612,1,1,325.0,1.0,32,325,3256
00639CRBBNSTATE,72041,PR,0,C,311930,1,1,311.0,1.0,31,311,3119
00638THRMKROAD6,72039,PR,0,C,333415,1,1,333.0,1.0,33,333,3334
00661CRBGNSTROA,72069,PR,0,C,335311,1,1,335.0,1.0,33,335,3353
00617PFZRPHIGHW,72017,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00715ZMMRCTURPE,72113,PR,0,C,339113,1,1,339.0,1.0,33,339,3391
00715DSTLR331AH,72113,PR,0,C,312140,1,1,3121.0,1.0,31,312,3121
00921SVCRB1CASI,72127,PR,0,F,622110,1,1,999.0,0.0,62,622,6221
00617THPJHHIGHW,72013,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00753CRBGPELRET,72125,PR,0,C,335313,1,1,335.0,1.0,33,335,3353
00965PCKGNAMELI,72061,PR,0,C,322211,1,1,322.0,1.0,32,322,3222
00655YRSTWSTATE,72057,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00706BXTRFCARR3,72093,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00791SMLSS3ST83,72069,PR,0,C,313311,1,1,313.0,1.0,31,313,3133
00759BRCWDCARR8,72137,PR,0,C,321114,1,1,321.0,1.0,32,321,3211
00707CRBGNSTATE,72109,PR,0,C,335314,1,1,335.0,1.0,33,335,3353
00633LYCMPROAD7,72035,PR,0,C,339999,1,1,339.0,1.0,33,339,3399
00633LYCMPROAD7,72035,PR,0,C,325412,2,0,325.0,1.0,32,325,3254
00764CRBGPSTRD6,72145,PR,0,C,335311,1,1,335.0,1.0,33,335,3353
00626QLTYLSTATE,72025,PR,0,C,332813,1,1,332.0,1.0,33,332,3328
00653CHFRTROAD3,72055,PR,0,C,325314,1,1,325.0,1.0,32,325,3253
00661SQBBMSTATE,72069,PR,0,C,325411,1,1,325.0,1.0,32,325,3254
00661SQBBMSTATE,72069,PR,0,C,325412,2,0,325.0,1.0,32,325,3254
00661SYNTXROAD9,72069,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00640WSTNGROADN,72043,PR,0,C,335314,1,1,335.0,1.0,33,335,3353
00785CHMSRRD3KM,72057,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00683LBNCXRD362,72125,PR,1,C,339112,1,1,339.0,1.0,33,339,3391
00654NQSTNROAD3,72057,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00767YBCSNROUTE,72151,PR,0,C,324110,1,1,324.0,1.0,32,324,3241
00625THCLRCARR7,72025,PR,0,C,325612,1,1,325.0,1.0,32,325,3256
00694HRVYHRD686,72145,PR,0,C,335931,1,1,335.0,1.0,33,335,3359
00731PRLSSFIRMD,72111,PR,0,C,424710,1,1,4247.0,1.0,42,424,4247
00747KNDLLROUTE,72121,PR,0,C,326121,1,1,326.0,1.0,32,326,3261
00623CTLRHRD308,72023,PR,0,C,335313,1,1,335.0,1.0,33,335,3353
00918NDLCX198CH,72127,PR,0,C,311511,1,1,311.0,1.0,31,311,3115
00918NDLCX198CH,72127,PR,0,C,311514,2,0,311.0,1.0,31,311,3115
00701SCHRNROAD6,72091,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00655LTSDLSTATE,72057,PR,0,C,332431,1,1,332.0,1.0,33,332,3324
00701RCHPRSTATE,72091,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00674SFTYKKM510,72091,PR,0,C,562112,1,1,562.0,1.0,56,562,5621
00617BBTTCROADN,72017,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00657FRTCHPARQU,72061,PR,0,C,325611,1,1,325.0,1.0,32,325,3256
00753WLLCNBSTRE,72125,PR,0,C,339912,1,1,339.0,1.0,33,339,3399
00671JHNSNRD183,72085,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00608DCRBNRD3KM,72123,PR,0,C,325991,1,1,325.0,1.0,32,325,3259
00986WYTHXRD3KM,72031,PR,0,C,325412,1,1,325.0,1.0,32,325,3254
00920TXCDPRD28P,72061,PR,0,C,424710,1,1,4247.0,1.0,42,424,4247
00692CRBGNSTATE,72143,PR,0,C,335311,1,1,335.0,1.0,33,335,3353
00791SMLSS3ST83,72069,PR,0,C,313312,1,1,313.0,1.0,31,313,3133
