TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
93003VLXCR6080L,06111,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
93003VLXCR6080L,06111,CA,0,C,332996.0,2,0,332.0,1.0,33.0,332.0,3329.0
90055SCLRG11711,06037,CA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
95356LMRTL4230T,06099,CA,0,C,331521.0,1,1,331.0,1.0,33.0,331.0,3315.0
95356LMRTL4230T,06099,CA,0,C,331522.0,2,0,331.0,1.0,33.0,331.0,3315.0
95356LMRTL4230T,06099,CA,0,C,,3,0,,,,,
95677FRMCC3500C,06061,CA,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
92121FRZPN6625M,06073,CA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
93706DRLNG795WE,06019,CA,0,C,311613.0,1,1,311.0,1.0,31.0,311.0,3116.0
90723STNCX7517J,06037,CA,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
90220CNTNN2225E,06037,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
90220CNTNN2225E,06037,CA,0,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
90023MVCCH4100E,06037,CA,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
91201GLNRL81WES,06037,CA,0,C,332710.0,1,1,332.0,1.0,33.0,332.0,3327.0
93401JBLSC277GR,06079,CA,0,C,325413.0,1,1,325.0,1.0,32.0,325.0,3254.0
95550SMPSN1165M,06023,CA,1,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
94089PRFRM610EW,06085,CA,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
90731JNKVCBERTH,06037,CA,0,C,424720.0,1,1,999.0,0.0,42.0,424.0,4247.0
94005DLBYL175SH,06081,CA,0,C,334220.0,1,1,334.0,1.0,33.0,334.0,3342.0
95206VLMTN431SP,06077,CA,0,C,331314.0,1,1,331.0,1.0,33.0,331.0,3313.0
95206VLMTN431SP,06077,CA,0,C,331423.0,2,0,331.0,1.0,33.0,331.0,3314.0
95351FSTRF415KA,06099,CA,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
95351FSTRF415KA,06099,CA,0,C,311514.0,2,0,311.0,1.0,31.0,311.0,3115.0
95351FSTRF415KA,06099,CA,0,C,311512.0,3,0,311.0,1.0,31.0,311.0,3115.0
92127SNYMN16450,06073,CA,0,C,334411.0,1,1,334.0,1.0,33.0,334.0,3344.0
90221MNCXX431OA,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
91744LTDNC17637,06037,CA,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
91744LTDNC17637,06037,CA,0,C,311520.0,2,0,311.0,1.0,31.0,311.0,3115.0
91744LTDNC17637,06037,CA,0,C,311514.0,3,0,311.0,1.0,31.0,311.0,3115.0
92145HNSNG9229H,06073,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
91311YNGPS20750,06037,CA,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
92614NWPRT1822R,06059,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
92614NWPRT1822R,06059,CA,0,C,325520.0,2,0,325.0,1.0,32.0,325.0,3255.0
91730RLNLC9433H,06071,CA,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
92040HNSNG1322C,06073,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
95231MNRNC9508S,06077,CA,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
92025HNSNG55NTU,06073,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
95367THNDR34PAT,06099,CA,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
90503NTRLF20433,06037,CA,0,C,325412.0,1,1,325.0,1.0,32.0,325.0,3254.0
90660PCRVR9307E,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
90660PCRVR9307E,06037,CA,0,C,337127.0,2,0,337.0,1.0,33.0,337.0,3371.0
92335CHMCL13560,06071,CA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
92335CHMCL13560,06071,CA,0,C,325181.0,2,0,325.0,1.0,32.0,325.0,3251.0
93212CDRSY745NO,06031,CA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
94509WSTRN2200W,06013,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
95367SLGNC3250P,06099,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
95824SLGNC6200F,06067,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
95206SLGNC1815N,06077,CA,1,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
92514FLTWD7007J,06065,CA,0,C,,2,0,,,,,
94577PRCSN414HE,06001,CA,0,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
93274STLLF901LE,06107,CA,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
95912CNRDW785ED,06011,CA,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
92880LCTRS372EL,06065,CA,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
90810WSTRN2001E,06037,CA,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
92334SRRBL10714,06071,CA,0,C,327331.0,1,1,327.0,1.0,32.0,327.0,3273.0
90224KRCNT505EE,06037,CA,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
91770HRMTC4232T,06037,CA,0,C,334417.0,1,1,334.0,1.0,33.0,334.0,3344.0
91731HCCMC4501A,06037,CA,0,C,334417.0,1,1,334.0,1.0,33.0,334.0,3344.0
91730RBRTM10667,06071,CA,1,C,332913.0,1,1,332.0,1.0,33.0,332.0,3329.0
91730RBRTM10667,06071,CA,1,C,423840.0,2,0,999.0,0.0,42.0,423.0,4238.0
91730RBRTM10667,06071,CA,1,C,332919.0,3,0,332.0,1.0,33.0,332.0,3329.0
91730RBRTM10667,06071,CA,1,C,332912.0,4,0,332.0,1.0,33.0,332.0,3329.0
92627JDLNC851WE,06059,CA,0,C,313320.0,1,1,313.0,1.0,31.0,313.0,3133.0
93230MDMRC10790,06031,CA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
92064HLLMR13500,06073,CA,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
92660NWPRT4321J,06059,CA,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
93304NNSPN22NDS,06029,CA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
90280GRDNF5611E,06037,CA,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
91746MCLNC420SO,06037,CA,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
93446HNSNG2484R,06079,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
92337FCFCF1641E,06071,CA,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
95324HLMRC9001N,06047,CA,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
93727DNCNN5673E,06019,CA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
95540HMBLD572HW,06023,CA,0,C,311520.0,1,1,311.0,1.0,31.0,311.0,3115.0
95540HMBLD572HW,06023,CA,0,C,311511.0,2,0,311.0,1.0,31.0,311.0,3115.0
95540HMBLD572HW,06023,CA,0,C,311514.0,3,0,311.0,1.0,31.0,311.0,3115.0
91744SMCNT475SW,06037,CA,0,C,331492.0,1,1,331.0,1.0,33.0,331.0,3314.0
95381CRGLL47STE,06099,CA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
91744CLFRN263CO,06037,CA,0,C,332311.0,1,1,332.0,1.0,33.0,332.0,3323.0
92583DLBRC1320B,06065,CA,0,C,331524.0,1,1,331.0,1.0,33.0,331.0,3315.0
94102SMNTT155HE,06075,CA,0,F,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
90710PRMWH23920,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
91731JMSJN4127T,06037,CA,0,C,331525.0,1,1,331.0,1.0,33.0,331.0,3315.0
90280STRTG8616T,06037,CA,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
90606QKRCT11729,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
90606QKRCT11729,06037,CA,0,C,,2,0,,,,,
92121LCTRN6731C,06073,CA,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
94804SHPRL1141M,06013,CA,0,C,335122.0,1,1,335.0,1.0,33.0,335.0,3351.0
94804SHPRL1141M,06013,CA,0,C,335129.0,2,0,335.0,1.0,33.0,335.0,3351.0
92705XXMFL111EA,06059,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
92641PCFCP12271,06059,CA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
94550JHNSN6383V,06001,CA,0,C,336360.0,1,1,336.0,1.0,33.0,336.0,3363.0
94550JHNSN6383V,06001,CA,0,C,326150.0,2,0,326.0,1.0,32.0,326.0,3261.0
91352LRTPL9939G,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
90744NTDST300FA,06037,CA,0,C,327999.0,1,1,327.0,1.0,32.0,327.0,3279.0
92514FLTWD7007J,06065,CA,0,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
94533SHLND2461C,06095,CA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
95133QZTCR615NK,06085,CA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
90723RSPRC15712,06037,CA,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
91761RSNTC2270C,06071,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
91016MXXXX1601S,06037,CA,0,C,313320.0,1,1,313.0,1.0,31.0,313.0,3133.0
91016MXXXX1601S,06037,CA,0,C,332999.0,2,0,332.0,1.0,33.0,332.0,3329.0
91016MXXXX1601S,06037,CA,0,C,326299.0,3,0,326.0,1.0,32.0,326.0,3262.0
90670TCHMP9028D,06037,CA,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
94539RDRTC44100,06001,CA,0,C,334112.0,1,1,334.0,1.0,33.0,334.0,3341.0
94553RPRDS110WA,06013,CA,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
92705GMNND2311S,06059,CA,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
95206BLKTR332SE,06077,CA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
95206BLKTR332SE,06077,CA,0,C,484121.0,2,0,999.0,0.0,48.0,484.0,4841.0
95206BLKTR332SE,06077,CA,0,C,484110.0,3,0,999.0,0.0,48.0,484.0,4841.0
93447CHMRN125PR,06079,CA,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
93447CHMRN125PR,06079,CA,0,C,325613.0,2,0,325.0,1.0,32.0,325.0,3256.0
90810SHLND20915,06037,CA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
92806PHLPS3261E,06059,CA,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
93715WLBRL2903S,06019,CA,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
94510XXNCS3400E,06095,CA,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
90245BNGST2240E,06037,CA,0,C,334290.0,1,1,334.0,1.0,33.0,334.0,3342.0
91010PTRSN2350E,06037,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
92879WSTLN1745S,06065,CA,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
92702SPSTC2701S,06059,CA,0,C,332722.0,1,1,332.0,1.0,33.0,332.0,3327.0
90249HTCRS1600W,06037,CA,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
90249HTCRS1600W,06037,CA,0,C,336419.0,2,0,336.0,1.0,33.0,336.0,3364.0
90249HTCRS1600W,06037,CA,0,C,335991.0,3,0,335.0,1.0,33.0,335.0,3359.0
90249HTCRS1600W,06037,CA,0,C,314999.0,4,0,314.0,1.0,31.0,314.0,3149.0
92618LCNMF15800,06059,CA,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
93030VLCNM6029V,06111,CA,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
93030VLCNM6029V,06111,CA,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
90023BRGLC3150E,06037,CA,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
90023BRGLC3150E,06037,CA,0,C,562920.0,2,0,562.0,1.0,56.0,562.0,5629.0
90023BRGLC3150E,06037,CA,0,C,562219.0,3,0,562.0,1.0,56.0,562.0,5622.0
91977HYSPN1685B,06073,CA,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
91977HYSPN1685B,06073,CA,0,C,332618.0,2,0,332.0,1.0,33.0,332.0,3326.0
93308WTCCRCORNE,06029,CA,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
92054PLMRT2925I,06073,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
93308SNJQN3542S,06029,CA,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
95340FNLNN455GR,06047,CA,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
90058MBLLV2619E,06037,CA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
90058MBLLV2619E,06037,CA,0,C,324191.0,2,0,324.0,1.0,32.0,324.0,3241.0
91768GRDNS2205W,06037,CA,0,C,322122.0,1,1,322.0,1.0,32.0,322.0,3221.0
94590DGSSL403RY,06095,CA,0,C,331492.0,1,1,331.0,1.0,33.0,331.0,3314.0
90248GRWMR15600,06037,CA,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
92805RYVCN251EP,06059,CA,0,C,325132.0,1,1,325.0,1.0,32.0,325.0,3251.0
92083WTKNS1280P,06073,CA,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
92064KTBCR134KI,06073,CA,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
91911SNDGG990BA,06073,CA,1,C,221119.0,1,1,2211.0,1.0,22.0,221.0,2211.0
90058WNSLL2923F,06037,CA,0,C,327213.0,1,1,327.0,1.0,32.0,327.0,3272.0
94545CTLRH20923,06001,CA,0,C,335313.0,1,1,335.0,1.0,33.0,335.0,3353.0
92123KYCRM8611B,06073,CA,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
95691FRMRS2224I,06113,CA,0,C,311212.0,1,1,311.0,1.0,31.0,311.0,3112.0
95678HBFLL10500,06061,CA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
90262MRCMN2520I,06037,CA,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
92867STLFR341WC,06059,CA,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
93225PCFCC1741E,06111,CA,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
92368RVRSD19409,06071,CA,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
94565SSPSCPOBOX,06013,CA,0,C,331221.0,1,1,331.0,1.0,33.0,331.0,3312.0
93263GFMTR6505Z,06029,CA,0,C,327212.0,1,1,327.0,1.0,32.0,327.0,3272.0
91702WYNNL1151W,06037,CA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
93230HNFRD10596,06031,CA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
94565GWFPW555NI,06013,CA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
94509GWFPW3400W,06013,CA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
94509GWFPW1900W,06013,CA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
94565GWFPW895E3,06013,CA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
91748NDLXW18111,06037,CA,0,C,331316.0,1,1,331.0,1.0,33.0,331.0,3313.0
91748NDLXW18111,06037,CA,0,C,331314.0,2,0,331.0,1.0,33.0,331.0,3313.0
93902GRWRS1060G,06053,CA,0,C,312113.0,1,1,3121.0,1.0,31.0,312.0,3121.0
95340MLBBT1MALI,06047,CA,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
93308NCHM019433,06029,CA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
91710SNDNC14525,06071,CA,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
91010DSGNR2310C,06037,CA,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
92335VNCNC10837,06071,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
90503DWCHM305CR,06037,CA,1,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
90503DWCHM305CR,06037,CA,1,C,326140.0,2,0,326.0,1.0,32.0,326.0,3261.0
90503NNCRB19500,06037,CA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
90503NNCRB19206,06037,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
90503NNCRB19206,06037,CA,0,C,326140.0,2,0,326.0,1.0,32.0,326.0,3261.0
95376CLTXC400WE,06077,CA,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
94804VRFLC250CA,06013,CA,0,C,334513.0,1,1,334.0,1.0,33.0,334.0,3345.0
92507BRNSN1200C,06065,CA,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
95361BTRCH300GI,06099,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
92301CBYCH978RA,06071,CA,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
90001SLVST8125B,06037,CA,0,C,339999.0,1,1,339.0,1.0,33.0,339.0,3399.0
94555SCNTF6550D,06001,CA,0,C,334513.0,1,1,334.0,1.0,33.0,334.0,3345.0
94533BLLPC2400H,06095,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
93705NWGMT2169N,06019,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
91750SYNTH1400A,06037,CA,0,C,335999.0,1,1,335.0,1.0,33.0,335.0,3359.0
92236RMTCD85901,06065,CA,0,C,332995.0,1,1,332.0,1.0,33.0,332.0,3329.0
90249GRDNP12901,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
91761GRFFT687SW,06071,CA,0,C,561910.0,1,1,999.0,0.0,56.0,561.0,5619.0
90058GRFFT4900G,06037,CA,0,C,561910.0,1,1,999.0,0.0,56.0,561.0,5619.0
90245CRSTK251EM,06037,CA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
90040VLLYP5900S,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
90220BRSPC2301S,06037,CA,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
90065VLLYP2701S,06037,CA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
91761PRCNC1801S,06071,CA,0,C,339991.0,1,1,339.0,1.0,33.0,339.0,3399.0
94565SGNDS1LESL,06013,CA,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
92029SKSNC1726W,06073,CA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
94954STRXX32LAK,06097,CA,1,C,333298.0,1,1,333.0,1.0,33.0,333.0,3332.0
92126SKSNC927DW,06073,CA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
93010MMGNT30035,06111,CA,1,C,334613.0,1,1,334.0,1.0,33.0,334.0,3346.0
95361LGLBR304NY,06099,CA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
92111RGRSC7447C,06073,CA,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
93555SNVYN1ADMI,06029,CA,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
91324MRKRX19901,06037,CA,0,C,325412.0,1,1,325.0,1.0,32.0,325.0,3254.0
90280LNDYT9301S,06037,CA,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
90245RLQDL131EE,06037,CA,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
93635SNJQN1155P,06047,CA,0,C,311514.0,1,1,311.0,1.0,31.0,311.0,3115.0
93635SNJQN1155P,06047,CA,0,C,311513.0,2,0,311.0,1.0,31.0,311.0,3115.0
90503RYNLD500CR,06037,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
91752MTLCN10980,06065,CA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
92704LMNMP2621S,06059,CA,0,C,332112.0,1,1,332.0,1.0,33.0,332.0,3321.0
90023CRTFD3342E,06037,CA,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
91730NNVTV853MI,06071,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
94560BYMRR6792C,06001,CA,0,C,327215.0,1,1,327.0,1.0,32.0,327.0,3272.0
92631VSTPN2020E,06059,CA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
92705RCHLC23002,06059,CA,0,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
92705RCHLC23002,06059,CA,0,C,325992.0,2,0,325.0,1.0,32.0,325.0,3259.0
95133DPTVC1565A,06085,CA,1,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
92649TRVSN1561M,06059,CA,0,C,337920.0,1,1,337.0,1.0,33.0,337.0,3379.0
92508RVRSD1500R,06065,CA,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
90701FMMLD20004,06037,CA,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
92108VLCNM5745M,06073,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
92108VLCNM5745M,06073,CA,0,C,324121.0,2,0,324.0,1.0,32.0,324.0,3241.0
94545WSHNG2498A,06001,CA,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
94545WSHNG2498A,06001,CA,0,C,325612.0,2,0,325.0,1.0,32.0,325.0,3256.0
93308BTZLB3050P,06029,CA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
93562CRBRGWINGA,06027,CA,0,C,212221.0,1,1,2122.0,1.0,21.0,212.0,2122.0
92324CNGRF2020E,06071,CA,0,C,311211.0,1,1,311.0,1.0,31.0,311.0,3112.0
91724PRKNL1330W,06037,CA,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
92815SKSNC50155,06059,CA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
93313PCFCW5601D,06029,CA,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
92324LMNTS330WC,06071,CA,1,C,325131.0,1,1,325.0,1.0,32.0,325.0,3251.0
94565DWCHMFOOTO,06013,CA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
94565DWCHMFOOTO,06013,CA,0,C,325320.0,2,0,325.0,1.0,32.0,325.0,3253.0
94565DWCHMFOOTO,06013,CA,0,C,325212.0,3,0,325.0,1.0,32.0,325.0,3252.0
94565DWCHMFOOTO,06013,CA,0,C,325188.0,4,0,325.0,1.0,32.0,325.0,3251.0
94541DVNCD401WH,06001,CA,1,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
90701CLFRN11709,06037,CA,0,C,311514.0,1,1,311.0,1.0,31.0,311.0,3115.0
90058GNBNC2717S,06037,CA,1,C,331492.0,1,1,331.0,1.0,33.0,331.0,3314.0
90607LGGTT12352,06037,CA,0,C,337124.0,1,1,337.0,1.0,33.0,337.0,3371.0
95358CSTMM21WIN,06099,CA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
93561CLVRS13573,06029,CA,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
90040WRGRC7237E,06037,CA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
92714NTNLR16282,06059,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
90039NTNLR4549B,06037,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
90040WTHRW5511D,06037,CA,0,C,311225.0,1,1,311.0,1.0,31.0,311.0,3112.0
94518SYSTR2700S,06013,CA,0,C,334511.0,1,1,334.0,1.0,33.0,334.0,3345.0
95928LTRNT311OT,06007,CA,1,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
90670MRCNP14722,06037,CA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
95630RSQRD120BL,06067,CA,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
90221GRMRN188SU,06037,CA,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
94545DHSVS25817,06001,CA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
91401NTNLR1523X,06037,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
90670CHMCN13900,06037,CA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
95208STCKT3003E,06077,CA,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
95363PTTRS100WE,06099,CA,0,C,111219.0,1,1,999.0,0.0,11.0,111.0,1112.0
95624GRGPC10399,06067,CA,1,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
92121LLMNN9885T,06073,CA,0,C,334516.0,1,1,334.0,1.0,33.0,334.0,3345.0
91731MCGLL4056E,06037,CA,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
91702RCHHL237SO,06037,CA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
95564LSNPCLPDRI,06023,CA,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
92310SDDNTDIREC,06071,CA,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
94804RCCRB731WC,06013,CA,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
94535SDDSR420AI,06095,CA,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
90503RGSDR3535D,06037,CA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
91203PRDCT5430S,06037,CA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
91203PRDCT5430S,06037,CA,0,C,325510.0,2,0,325.0,1.0,32.0,325.0,3255.0
91303NTNLR6969D,06037,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
92427SNBRN5454N,06071,CA,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
91351NTNLR275RU,06037,CA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
94553MNSNT1778M,06013,CA,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
93308RBRVJ11258,06029,CA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
92713MSRGC17132,06059,CA,0,C,339113.0,1,1,339.0,1.0,33.0,339.0,3391.0
90023PRSLL4139B,06037,CA,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
